date,product_id,product_name,price
2026-06-13,1,RTX 5060,516550
2026-06-14,1,RTX 5060,525361
2026-06-15,1,RTX 5060,515496
2026-06-16,1,RTX 5060,509902
2026-06-17,1,RTX 5060,514589
2026-06-18,1,RTX 5060,505351
2026-06-19,1,RTX 5060,509528
2026-06-20,1,RTX 5060,514993
2026-06-21,1,RTX 5060,510546
2026-06-22,1,RTX 5060,500884
2026-06-23,1,RTX 5060,506912
2026-06-24,1,RTX 5060,506838
2026-06-25,1,RTX 5060,497004
2026-06-26,1,RTX 5060,506611
2026-06-27,1,RTX 5060,511553
2026-06-28,1,RTX 5060,520553
2026-06-29,1,RTX 5060,516696
2026-06-30,1,RTX 5060,507900
2026-07-01,1,RTX 5060,510885
2026-07-02,1,RTX 5060,509677
2026-07-03,1,RTX 5060,517586
2026-07-04,1,RTX 5060,521620
2026-07-05,1,RTX 5060,523918
2026-07-06,1,RTX 5060,527321
2026-07-07,1,RTX 5060,523030
2026-07-08,1,RTX 5060,527121
2026-07-09,1,RTX 5060,517504
2026-07-10,1,RTX 5060,514760
2026-07-11,1,RTX 5060,524466
2026-07-12,1,RTX 5060,529118
2026-06-13,2,RTX 5060 Ti,595914
2026-06-14,2,RTX 5060 Ti,605675
2026-06-15,2,RTX 5060 Ti,609894
2026-06-16,2,RTX 5060 Ti,600939
2026-06-17,2,RTX 5060 Ti,602639
2026-06-18,2,RTX 5060 Ti,597335
2026-06-19,2,RTX 5060 Ti,588691
2026-06-20,2,RTX 5060 Ti,596803
2026-06-21,2,RTX 5060 Ti,602799
2026-06-22,2,RTX 5060 Ti,601132
2026-06-23,2,RTX 5060 Ti,609990
2026-06-24,2,RTX 5060 Ti,608119
2026-06-25,2,RTX 5060 Ti,607150
2026-06-26,2,RTX 5060 Ti,613516
2026-06-27,2,RTX 5060 Ti,612134
2026-06-28,2,RTX 5060 Ti,623322
2026-06-29,2,RTX 5060 Ti,635420
2026-06-30,2,RTX 5060 Ti,630545
2026-07-01,2,RTX 5060 Ti,642679
2026-07-02,2,RTX 5060 Ti,644775
2026-07-03,2,RTX 5060 Ti,639572
2026-07-04,2,RTX 5060 Ti,630922
2026-07-05,2,RTX 5060 Ti,639399
2026-07-06,2,RTX 5060 Ti,630135
2026-07-07,2,RTX 5060 Ti,639013
2026-07-08,2,RTX 5060 Ti,637270
2026-07-09,2,RTX 5060 Ti,628428
2026-07-10,2,RTX 5060 Ti,616692
2026-07-11,2,RTX 5060 Ti,621779
2026-07-12,2,RTX 5060 Ti,626714
2026-06-13,3,RTX 5060 Ti 16GB,600760
2026-06-14,3,RTX 5060 Ti 16GB,604238
2026-06-15,3,RTX 5060 Ti 16GB,603264
2026-06-16,3,RTX 5060 Ti 16GB,607818
2026-06-17,3,RTX 5060 Ti 16GB,618607
2026-06-18,3,RTX 5060 Ti 16GB,616919
2026-06-19,3,RTX 5060 Ti 16GB,615235
2026-06-20,3,RTX 5060 Ti 16GB,626558
2026-06-21,3,RTX 5060 Ti 16GB,632162
2026-06-22,3,RTX 5060 Ti 16GB,628703
2026-06-23,3,RTX 5060 Ti 16GB,632679
2026-06-24,3,RTX 5060 Ti 16GB,629262
2026-06-25,3,RTX 5060 Ti 16GB,625846
2026-06-26,3,RTX 5060 Ti 16GB,627611
2026-06-27,3,RTX 5060 Ti 16GB,613617
2026-06-28,3,RTX 5060 Ti 16GB,601281
2026-06-29,3,RTX 5060 Ti 16GB,597341
2026-06-30,3,RTX 5060 Ti 16GB,590290
2026-07-01,3,RTX 5060 Ti 16GB,592452
2026-07-02,3,RTX 5060 Ti 16GB,586183
2026-07-03,3,RTX 5060 Ti 16GB,576534
2026-07-04,3,RTX 5060 Ti 16GB,586382
2026-07-05,3,RTX 5060 Ti 16GB,584839
2026-07-06,3,RTX 5060 Ti 16GB,585300
2026-07-07,3,RTX 5060 Ti 16GB,575581
2026-07-08,3,RTX 5060 Ti 16GB,571929
2026-07-09,3,RTX 5060 Ti 16GB,572669
2026-07-10,3,RTX 5060 Ti 16GB,564987
2026-07-11,3,RTX 5060 Ti 16GB,567461
2026-07-12,3,RTX 5060 Ti 16GB,563489
2026-06-13,4,RTX 5070,976346
2026-06-14,4,RTX 5070,987873
2026-06-15,4,RTX 5070,991182
2026-06-16,4,RTX 5070,1009273
2026-06-17,4,RTX 5070,994786
2026-06-18,4,RTX 5070,987342
2026-06-19,4,RTX 5070,989518
2026-06-20,4,RTX 5070,979761
2026-06-21,4,RTX 5070,970308
2026-06-22,4,RTX 5070,979014
2026-06-23,4,RTX 5070,992616
2026-06-24,4,RTX 5070,998857
2026-06-25,4,RTX 5070,982217
2026-06-26,4,RTX 5070,965221
2026-06-27,4,RTX 5070,958291
2026-06-28,4,RTX 5070,974050
2026-06-29,4,RTX 5070,974585
2026-06-30,4,RTX 5070,983003
2026-07-01,4,RTX 5070,1001668
2026-07-02,4,RTX 5070,1012614
2026-07-03,4,RTX 5070,995206
2026-07-04,4,RTX 5070,1007050
2026-07-05,4,RTX 5070,1019902
2026-07-06,4,RTX 5070,1007616
2026-07-07,4,RTX 5070,1008409
2026-07-08,4,RTX 5070,1021411
2026-07-09,4,RTX 5070,1003200
2026-07-10,4,RTX 5070,997974
2026-07-11,4,RTX 5070,1010771
2026-07-12,4,RTX 5070,1024257
2026-06-13,5,RTX 5070 Ti,1523232
2026-06-14,5,RTX 5070 Ti,1534532
2026-06-15,5,RTX 5070 Ti,1523810
2026-06-16,5,RTX 5070 Ti,1506385
2026-06-17,5,RTX 5070 Ti,1500211
2026-06-18,5,RTX 5070 Ti,1513123
2026-06-19,5,RTX 5070 Ti,1491718
2026-06-20,5,RTX 5070 Ti,1473349
2026-06-21,5,RTX 5070 Ti,1469671
2026-06-22,5,RTX 5070 Ti,1485772
2026-06-23,5,RTX 5070 Ti,1503866
2026-06-24,5,RTX 5070 Ti,1525039
2026-06-25,5,RTX 5070 Ti,1522654
2026-06-26,5,RTX 5070 Ti,1507102
2026-06-27,5,RTX 5070 Ti,1517474
2026-06-28,5,RTX 5070 Ti,1535729
2026-06-29,5,RTX 5070 Ti,1509162
2026-06-30,5,RTX 5070 Ti,1495125
2026-07-01,5,RTX 5070 Ti,1501148
2026-07-02,5,RTX 5070 Ti,1516321
2026-07-03,5,RTX 5070 Ti,1492473
2026-07-04,5,RTX 5070 Ti,1499334
2026-07-05,5,RTX 5070 Ti,1510540
2026-07-06,5,RTX 5070 Ti,1529525
2026-07-07,5,RTX 5070 Ti,1542503
2026-07-08,5,RTX 5070 Ti,1558355
2026-07-09,5,RTX 5070 Ti,1578163
2026-07-10,5,RTX 5070 Ti,1559651
2026-07-11,5,RTX 5070 Ti,1529252
2026-07-12,5,RTX 5070 Ti,1498961
2026-06-13,6,RTX 5080,2086872
2026-06-14,6,RTX 5080,2085016
2026-06-15,6,RTX 5080,2126510
2026-06-16,6,RTX 5080,2128182
2026-06-17,6,RTX 5080,2146881
2026-06-18,6,RTX 5080,2114664
2026-06-19,6,RTX 5080,2127015
2026-06-20,6,RTX 5080,2130489
2026-06-21,6,RTX 5080,2142440
2026-06-22,6,RTX 5080,2136812
2026-06-23,6,RTX 5080,2135735
2026-06-24,6,RTX 5080,2105752
2026-06-25,6,RTX 5080,2066551
2026-06-26,6,RTX 5080,2035409
2026-06-27,6,RTX 5080,2059443
2026-06-28,6,RTX 5080,2081010
2026-06-29,6,RTX 5080,2083603
2026-06-30,6,RTX 5080,2065015
2026-07-01,6,RTX 5080,2037808
2026-07-02,6,RTX 5080,2064555
2026-07-03,6,RTX 5080,2024569
2026-07-04,6,RTX 5080,1991022
2026-07-05,6,RTX 5080,1982222
2026-07-06,6,RTX 5080,1979921
2026-07-07,6,RTX 5080,1989233
2026-07-08,6,RTX 5080,1960933
2026-07-09,6,RTX 5080,1976351
2026-07-10,6,RTX 5080,1949753
2026-07-11,6,RTX 5080,1945007
2026-07-12,6,RTX 5080,1959198
2026-06-13,7,RTX 5090,7271437
2026-06-14,7,RTX 5090,7348009
2026-06-15,7,RTX 5090,7310515
2026-06-16,7,RTX 5090,7416876
2026-06-17,7,RTX 5090,7353189
2026-06-18,7,RTX 5090,7330593
2026-06-19,7,RTX 5090,7375430
2026-06-20,7,RTX 5090,7301135
2026-06-21,7,RTX 5090,7376734
2026-06-22,7,RTX 5090,7273339
2026-06-23,7,RTX 5090,7137762
2026-06-24,7,RTX 5090,7181066
2026-06-25,7,RTX 5090,7281232
2026-06-26,7,RTX 5090,7284339
2026-06-27,7,RTX 5090,7310961
2026-06-28,7,RTX 5090,7340903
2026-06-29,7,RTX 5090,7258483
2026-06-30,7,RTX 5090,7305429
2026-07-01,7,RTX 5090,7225902
2026-07-02,7,RTX 5090,7102679
2026-07-03,7,RTX 5090,7003293
2026-07-04,7,RTX 5090,7012413
2026-07-05,7,RTX 5090,6909697
2026-07-06,7,RTX 5090,6816887
2026-07-07,7,RTX 5090,6941214
2026-07-08,7,RTX 5090,6981962
2026-07-09,7,RTX 5090,7057898
2026-07-10,7,RTX 5090,7037568
2026-07-11,7,RTX 5090,7058389
2026-07-12,7,RTX 5090,6964783
2026-06-13,8,RX 9060 XT,549176
2026-06-14,8,RX 9060 XT,547310
2026-06-15,8,RX 9060 XT,543472
2026-06-16,8,RX 9060 XT,555203
2026-06-17,8,RX 9060 XT,555116
2026-06-18,8,RX 9060 XT,548273
2026-06-19,8,RX 9060 XT,553529
2026-06-20,8,RX 9060 XT,545654
2026-06-21,8,RX 9060 XT,546982
2026-06-22,8,RX 9060 XT,534489
2026-06-23,8,RX 9060 XT,526216
2026-06-24,8,RX 9060 XT,527423
2026-06-25,8,RX 9060 XT,531963
2026-06-26,8,RX 9060 XT,533025
2026-06-27,8,RX 9060 XT,532307
2026-06-28,8,RX 9060 XT,530439
2026-06-29,8,RX 9060 XT,521299
2026-06-30,8,RX 9060 XT,516925
2026-07-01,8,RX 9060 XT,514150
2026-07-02,8,RX 9060 XT,520484
2026-07-03,8,RX 9060 XT,522569
2026-07-04,8,RX 9060 XT,511832
2026-07-05,8,RX 9060 XT,513765
2026-07-06,8,RX 9060 XT,511459
2026-07-07,8,RX 9060 XT,507424
2026-07-08,8,RX 9060 XT,511041
2026-07-09,8,RX 9060 XT,517182
2026-07-10,8,RX 9060 XT,522795
2026-07-11,8,RX 9060 XT,517682
2026-07-12,8,RX 9060 XT,515816
2026-06-13,9,RX 9070,921998
2026-06-14,9,RX 9070,925558
2026-06-15,9,RX 9070,936081
2026-06-16,9,RX 9070,930853
2026-06-17,9,RX 9070,928839
2026-06-18,9,RX 9070,916863
2026-06-19,9,RX 9070,904081
2026-06-20,9,RX 9070,912642
2026-06-21,9,RX 9070,927068
2026-06-22,9,RX 9070,926290
2026-06-23,9,RX 9070,937123
2026-06-24,9,RX 9070,941073
2026-06-25,9,RX 9070,933997
2026-06-26,9,RX 9070,937931
2026-06-27,9,RX 9070,954743
2026-06-28,9,RX 9070,954345
2026-06-29,9,RX 9070,971747
2026-06-30,9,RX 9070,942078
2026-07-01,9,RX 9070,951102
2026-07-02,9,RX 9070,952067
2026-07-03,9,RX 9070,948749
2026-07-04,9,RX 9070,949764
2026-07-05,9,RX 9070,927764
2026-07-06,9,RX 9070,925389
2026-07-07,9,RX 9070,929240
2026-07-08,9,RX 9070,945245
2026-07-09,9,RX 9070,939536
2026-07-10,9,RX 9070,930683
2026-07-11,9,RX 9070,925241
2026-07-12,9,RX 9070,935111
2026-06-13,10,RX 9070 XT,1083346
2026-06-14,10,RX 9070 XT,1087496
2026-06-15,10,RX 9070 XT,1080782
2026-06-16,10,RX 9070 XT,1087247
2026-06-17,10,RX 9070 XT,1088477
2026-06-18,10,RX 9070 XT,1100765
2026-06-19,10,RX 9070 XT,1091758
